# Spectral_Value,Flux_Value,Flux_Accuracy_StatErrLow,Flux_Accuracy_StatErrHigh,Flux_Accuracy_Quality
3689.97554143342,21.144100189209,0,0,16777216
3690.82528752782,21.1422996520996,0,0,16777216
3691.67522930602,21.1404991149902,0,0,16777216
3692.52536681308,21.1387004852295,0,0,16777216
3693.37570009407,21.1368999481201,0,0,16777216
3694.22622919408,21.1350994110107,0,0,16777216
3695.0769541582,21.13330078125,0,0,16777216
3695.92787503154,21.1315002441406,0,0,16777216
3696.77899185921,21.1296997070313,0,0,16777216
3697.63030468634,21.1280002593994,0,0,16777216
3698.48181355805,21.12619972229,0,0,16777216
3699.33351851951,21.1243991851807,0,0,16777216
3700.18541961586,21.1226997375488,0,0,16777216
3701.03751689227,21.1208992004395,0,0,16777216
3701.88981039392,21.1191005706787,0,0,16777216
3702.742300166,21.1173992156982,0,0,16777216
3703.5949862537,21.1156005859375,0,0,16777216
3704.44786870224,21.113899230957,0,0,16777216
3705.30094755682,21.1121997833252,0,0,16842768
3706.15422286269,21.1103992462158,0,0,16842768
3707.00769466508,21.108699798584,4.04318523406982,4.04318523406982,65552
3707.86136300925,34.5026016235352,4.17317056655884,4.17317056655884,65552
3708.71522794045,25.8931007385254,4.12239551544189,4.12239551544189,65552
3709.56928950394,27.7014999389648,3.98376655578613,3.98376655578613,65552
3710.42354774503,29.9881992340088,4.1048641204834,4.1048641204834,65552
3711.27800270899,29.7245998382568,3.96716094017029,3.96716094017029,65552
3712.13265444113,36.6553993225098,4.07018232345581,4.07018232345581,65552
3712.98750298676,31.2569007873535,3.97155737876892,3.97155737876892,65552
3713.84254839121,30.5998992919922,3.94447708129883,3.94447708129883,65552
3714.69779069981,40.4500007629395,4.09753131866455,4.09753131866455,65552
3715.5532299579,41.4739990234375,4.128577709198,4.128577709198,65552
3716.40886621083,32.9345016479492,3.92154455184937,3.92154455184937,65552
3717.26469950398,31.7432994842529,3.98090243339539,3.98090243339539,65552
3718.12072988272,32.2900009155273,4.04570913314819,4.04570913314819,65552
3718.97695739243,28.9088001251221,4.03697681427002,4.03697681427002,65552
3719.8333820785,25.1776008605957,3.99872064590454,3.99872064590454,65552
3720.69000398636,22.0774993896484,3.91710734367371,3.91710734367371,65552
3721.54682316141,21.4046001434326,3.97001719474792,3.97001719474792,65552
3722.40383964909,23.3621997833252,4.02791833877563,4.02791833877563,65552
3723.26105349481,22.1345996856689,4.07054996490479,4.07054996490479,65552
3724.11846474406,32.1376991271973,4.19590663909912,4.19590663909912,65552
3724.97607344227,28.5352001190186,4.06770324707031,4.06770324707031,65552
