# Spectral_Value,Flux_Value,Flux_Accuracy_StatErrLow,Flux_Accuracy_StatErrHigh,Flux_Accuracy_Quality
7203.95079030286,25.1863994598389,0.440274089574814,0.440274089574814,0
7205.60975940532,26.5020999908447,0.50034099817276,0.50034099817276,0
7207.26911054167,26.8633995056152,0.610855221748352,0.610855221748352,0
7208.9288437999,26.1319999694824,0.561436355113983,0.561436355113983,0
7210.58895926798,26.0240001678467,0.470620274543762,0.470620274543762,0
7212.24945703395,25.6821994781494,0.435789227485657,0.435789227485657,0
7213.91033718582,25.7194995880127,0.435641139745712,0.435641139745712,0
7215.57159981169,26.2474002838135,0.440237402915955,0.440237402915955,0
7217.23324499961,26.3367004394531,0.447375118732452,0.447375118732452,0
7218.89527283769,26.2992992401123,0.44564014673233,0.44564014673233,0
7220.55768341403,26.2991008758545,0.451606512069702,0.451606512069702,0
7222.2204768168,25.5790996551514,0.446369409561157,0.446369409561157,0
7223.88365313414,26.4190006256104,0.446159213781357,0.446159213781357,0
7225.54721245424,26.4272003173828,0.448981136083603,0.448981136083603,0
7227.21115486528,26.7800006866455,0.453567683696747,0.453567683696747,0
7228.87548045551,26.6597003936768,0.456999927759171,0.456999927759171,0
7230.54018931315,25.9288997650146,0.445046156644821,0.445046156644821,0
7232.20528152647,27.1616992950439,0.450771600008011,0.450771600008011,0
7233.87075718375,26.5531005859375,0.467122972011566,0.467122972011566,0
7235.53661637329,27.1063003540039,0.485844075679779,0.485844075679779,0
7237.2028591834,27.1033992767334,0.476645171642303,0.476645171642303,0
7238.86948570245,26.656099319458,0.452258169651031,0.452258169651031,0
7240.53649601879,26.7728004455566,0.454105645418167,0.454105645418167,0
7242.2038902208,26.542200088501,0.489702105522156,0.489702105522156,0
7243.87166839689,26.3470001220703,0.515483796596527,0.515483796596527,0
7245.53983063547,26.9272003173828,0.484115928411484,0.484115928411484,0
7247.208377025,26.7285995483398,0.457164645195007,0.457164645195007,0
7248.87730765394,26.149299621582,0.453388631343842,0.453388631343842,0
7250.54662261078,26.4519996643066,0.453820288181305,0.453820288181305,0
7252.216321984,26.9265003204346,0.451228439807892,0.451228439807892,0
7253.88640586217,25.5429992675781,0.438839673995972,0.438839673995972,0
7255.5568743338,26.230899810791,0.441586554050446,0.441586554050446,0
7257.22772748747,26.8363990783691,0.449188530445099,0.449188530445099,0
7258.89896541176,26.2329998016357,0.442078173160553,0.442078173160553,0
7260.57058819529,25.907600402832,0.44122576713562,0.44122576713562,0
7262.24259592668,27.1156997680664,0.452992141246796,0.452992141246796,0
7263.91498869458,26.7287998199463,0.453986287117004,0.453986287117004,0
7265.58776658766,26.9444007873535,0.454216182231903,0.454216182231903,0
7267.26092969461,27.1051998138428,0.4546018242836,0.4546018242836,0
7268.93447810412,26.8530006408691,0.456520587205887,0.456520587205887,0
7270.60841190495,26.7695007324219,0.457642167806625,0.457642167806625,0
7272.28273118584,27.031400680542,0.463316112756729,0.463316112756729,0
7273.95743603556,26.3554000854492,0.465916246175766,0.465916246175766,0
7275.63252654289,27.3363990783691,0.483643472194672,0.483643472194672,0
7277.30800279665,27.2308006286621,0.477400124073029,0.477400124073029,0
7278.98386488568,26.2812995910645,0.458465337753296,0.458465337753296,0
